"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","source","Item_Type_Combined","Outlet_Years"
"48","FDV49","10","0",0.025879577,265.2226,"OUT045","0","2","1",5815.0972,"train","0",11
"49","FDL12","15.85","1",0.121632721,60.622,"OUT046","0","1","1",2576.646,"train","0",16
"50","FDS02",NA,"1",0.255394896,196.8794,"OUT019","0","1","0",780.3176,"train","0",28
"51","NCL17","7.39","0",0.067779712,143.8812,"OUT046","0","1","1",3134.5864,"train","2",16
"52","FDM40","10.195","0",0.159803853,141.5154,"OUT013","2","3","1",850.8924,"train","0",26
"53","FDR13","9.895","1",0.028696932,117.0492,"OUT013","2","3","1",810.9444,"train","0",26
"54","FDA43","10.895","0",0.065041581,196.3794,"OUT017","0","2","1",3121.2704,"train","0",6
"55","NCP18","12.15","0",0.028760013,151.4708,"OUT017","0","2","1",4815.0656,"train","2",6
"56","FDK21","7.905","0",0.010053105,249.0408,"OUT018","1","3","2",6258.52,"train","0",4
"57","NCX54","9.195","0",0.048157338,106.1622,"OUT045","0","2","1",2117.244,"train","2",11
"58","DRK35","8.365","0",0.071958197,38.0506,"OUT049","1","1","1",796.9626,"train","1",14
"59","FDY21","15.1","0",0.173481304,194.511,"OUT046","0","1","1",4910.275,"train","0",16
"60","FDI26",NA,"0",0.061082177,180.0344,"OUT019","0","1","0",892.172,"train","0",28
"61","FDM20","10","0",0.0659527800739932,246.9144,"OUT018","1","3","2",3185.1872,"train","0",4
"62","FDV27","7.97","1",0.040071131,87.3514,"OUT045","0","2","1",1062.6168,"train","0",11
"63","FDF09",NA,"0",0.012090074,38.2848,"OUT027","1","3","3",484.7024,"train","0",28
"64","FDY40",NA,"1",0.15028599,51.0692,"OUT019","0","1","0",147.8076,"train","0",28
"65","FDY45",NA,"0",0.026015519,255.8356,"OUT027","1","3","3",2543.356,"train","0",28
"66","FDC46","17.7","0",0.195068226,185.4266,"OUT010","0","3","0",184.4266,"train","0",15
"67","FDH19","19.35","0",0.033082215,172.5738,"OUT035","0","2","1",4865.6664,"train","0",9
"68","FDZ03","13.65","1",0.078946455,186.024,"OUT045","0","2","1",1118.544,"train","0",11
"69","DRH37","17.6","0",0.041700756,164.8526,"OUT045","0","2","1",2302.3364,"train","1",11
"70","NCI17","8.645","0",0.143422643,95.841,"OUT046","0","1","1",2027.361,"train","2",16
"71","FDJ58","15.6","1",0.105296072,170.1764,"OUT046","0","1","1",3435.528,"train","0",16
"72","FDL12","15.85","1",0.121531501,59.222,"OUT013","2","3","1",599.22,"train","0",26
"73","FDH35","18.25","0",0.0659527800739932,164.7526,"OUT045","0","2","1",4604.6728,"train","0",11
"74","FDG02","7.855","0",0.011324862,189.6188,"OUT017","0","2","1",2285.0256,"train","0",6
"75","NCZ18","7.825","0",0.186357148,254.3698,"OUT049","1","1","1",5580.7356,"train","2",14
"76","FDC29","8.39","1",0.024205661,114.0176,"OUT046","0","1","1",2290.352,"train","0",16
"77","FDQ10","12.85","0",0.033230816,172.3422,"OUT049","1","1","1",1207.0954,"train","0",14
"78","FDN48",NA,"0",0.113720344,89.9804,"OUT019","0","1","0",643.1628,"train","0",28
"79","FDL04","19","0",0.112556507,104.9622,"OUT017","0","2","1",1587.933,"train","0",6
"80","FDV25","5.905","0",0.0659527800739932,222.5456,"OUT045","0","2","1",5305.0944,"train","0",11
"81","FDD58","7.76","0",0.059352241,101.87,"OUT046","0","1","1",1697.79,"train","0",16
"82","FDN04","11.8","1",0.014087057,180.3344,"OUT046","0","1","1",1427.4752,"train","0",16
"83","FDV45","16.75","0",0.045230944,187.9556,"OUT018","1","3","2",4693.89,"train","0",4
"84","NCL18",NA,"0",0.293417759,194.6136,"OUT019","0","1","0",583.2408,"train","2",28
"85","FDR12",NA,"1",0.031382044,171.3764,"OUT027","1","3","3",3091.9752,"train","0",28
"86","FDG20","15.5","1",0.12639886,177.0028,"OUT017","0","2","1",2479.4392,"train","0",6
"87","FDZ55","6.055","0",0.025403898,160.992,"OUT035","0","2","1",2716.464,"train","0",9
"88","FDQ49",NA,"1",0.039057677,155.963,"OUT027","1","3","3",3285.723,"train","0",28
"89","FDN33","6.305","1",0.123115764,95.6436,"OUT046","0","1","1",661.8052,"train","0",16
"90","FDN27","20.85","0",0.039624006,117.2808,"OUT049","1","1","1",1523.3504,"train","0",14
"91","FDW20","20.75","0",0.040421193,122.173,"OUT010","0","3","0",369.519,"train","0",15
"92","DRG27","8.895","0",0.105274111,39.9138,"OUT049","1","1","1",690.4346,"train","1",14
"93","DRI25","19.6","0",0.033970195,55.1614,"OUT045","0","2","1",1381.535,"train","1",11
"94","FDA44","19.7","0",0.053212652,57.893,"OUT035","0","2","1",622.523,"train","0",9
"95","NCR17","9.8","0",0.024378706,114.5492,"OUT035","0","2","1",1274.3412,"train","2",9
"96","FDU04",NA,"0",0.009714595,120.0414,"OUT019","0","1","0",487.3656,"train","0",28
"97","FDF41","12.15","0",0.131383762,246.046,"OUT049","1","1","1",1231.73,"train","0",14
"98","FDB56","8.75","1",0.07461309,187.4556,"OUT035","0","2","1",3755.112,"train","0",9
"99","NCP18",NA,"0",0.028459761,149.9708,"OUT027","1","3","3",4363.6532,"train","2",28
"100","FDB56","8.75","1",0.074627201,187.8556,"OUT046","0","1","1",1314.2892,"train","0",16
"101","FDT28","13.3","0",0.063695084,151.0708,"OUT045","0","2","1",1805.6496,"train","0",11
"102","FDD10",NA,"1",0.045797829,178.5344,"OUT027","1","3","3",2854.9504,"train","0",28
"103","FDW57","8.31","1",0.115857223,179.1028,"OUT049","1","1","1",3896.2616,"train","0",14
"104","DRB48","16.75","1",0.024832806,38.7822,"OUT013","2","3","1",667.7974,"train","1",26
"105","FDP09","19.75","0",0.034027909,212.0902,"OUT018","1","3","2",3185.853,"train","0",4
"106","FDH14","17.1","1",0.0467696,141.1838,"OUT013","2","3","1",2247.7408,"train","0",26
"107","FDA47","10.5","1",0.116576702,163.121,"OUT013","2","3","1",1794.331,"train","0",26
"108","FDG12","6.635","1",0.0659527800739932,121.3098,"OUT045","0","2","1",2530.7058,"train","0",11
"109","DRE60",NA,"0",0.278974075,225.372,"OUT019","0","1","0",679.116,"train","1",28
"110","DRK49","14.15","0",0.035913805,41.4138,"OUT013","2","3","1",812.276,"train","1",26
"111","FDD03","13.3","0",0.079806266,232.53,"OUT046","0","1","1",699.09,"train","0",16
"112","FDS52","8.89","0",0.005505481,102.4016,"OUT017","0","2","1",2732.4432,"train","0",6
"113","FDW39",NA,"1",0.064625342,176.937,"OUT019","0","1","0",176.437,"train","0",28
"114","FDX34",NA,"0",0.071636937,121.7098,"OUT027","1","3","3",4097.3332,"train","0",28
"115","FDV11","9.1","1",0.0659527800739932,173.2054,"OUT045","0","2","1",3151.8972,"train","0",11
"116","FDD17","7.5","0",0.032677678,239.0906,"OUT049","1","1","1",5942.265,"train","0",14
"117","FDZ16","16.85","1",0.160760054,192.4478,"OUT017","0","2","1",4843.695,"train","0",6
"118","FDZ46","7.485","0",0.06911065,109.0228,"OUT035","0","2","1",2542.0244,"train","0",9
"119","DRA12","11.6","0",0.041177505,140.3154,"OUT017","0","2","1",2552.6772,"train","1",6
"120","FDY58","11.65","0",0.040081193,227.0694,"OUT018","1","3","2",1141.847,"train","0",4
"121","NCF19","13","0",0.035307322,47.5034,"OUT017","0","2","1",680.4476,"train","2",6
"122","DRJ13","12.65","0",0.063017847,159.0578,"OUT045","0","2","1",2085.9514,"train","1",11
"123","FDB14","20.25","1",0.171938781,92.512,"OUT010","0","3","0",186.424,"train","0",15
"124","FDJ38","8.6","1",0.040197932,190.153,"OUT035","0","2","1",3036.048,"train","0",9
"125","FDW11","12.6","0",0.049058014,62.7194,"OUT017","0","2","1",866.8716,"train","0",6
"126","FDL40","17.7","0",0.01161096,95.041,"OUT035","0","2","1",868.869,"train","0",9
"127","DRI49","14.15","0",0.183507295,82.4276,"OUT046","0","1","1",1137.1864,"train","1",16
"128","FDV38","19.25","0",0.102349519,52.7956,"OUT017","0","2","1",928.1252,"train","0",6
"129","DRG23","8.88","0",0.086708987,151.7682,"OUT013","2","3","1",762.341,"train","1",26
"130","NCP30","20.5","0",0.032835147,40.2822,"OUT045","0","2","1",707.0796,"train","2",11
"131","FDY25",NA,"0",0.033809913,180.5976,"OUT027","1","3","3",7968.2944,"train","0",28
"132","NCH54","13.5","0",0.07266912,160.292,"OUT046","0","1","1",1438.128,"train","2",16
"133","NCR53",NA,"0",0.144338493,224.4404,"OUT027","1","3","3",6976.2524,"train","2",28
"134","FDS52","8.89","0",0.009163216,101.7016,"OUT010","0","3","0",101.2016,"train","0",15
"135","FDG02","7.855","0",0.011307038,188.5188,"OUT018","1","3","2",952.094,"train","0",4
"136","NCO26","7.235","0",0.076855628,116.0492,"OUT046","0","1","1",1969.4364,"train","2",16
"137","FDH35",NA,"0",0.059956876,165.4526,"OUT027","1","3","3",5262.4832,"train","0",28
"138","FDB51","6.92","0",0.038532062,60.5852,"OUT045","0","2","1",1314.2892,"train","0",11
"139","FDX44","9.3","0",0.043209581,90.8172,"OUT017","0","2","1",535.3032,"train","0",6
"140","NCN07","18.5","0",0.056816465,132.1284,"OUT010","0","3","0",263.6568,"train","2",15
"141","NCC31","8.02","0",0.019866705,154.5972,"OUT035","0","2","1",1402.1748,"train","2",9
"142","NCX54","9.195","0",0.048331717,105.1622,"OUT017","0","2","1",1693.7952,"train","2",6
"143","NCO55","12.8","0",0.091221855,105.5938,"OUT045","0","2","1",2143.876,"train","2",11
"144","NCC30","16.6","0",0.027622076,177.6344,"OUT049","1","1","1",2676.516,"train","2",14
"145","FDI16","14","1",0.0659527800739932,53.064,"OUT035","0","2","1",905.488,"train","0",9
"146","FDP16","18.6","0",0.039355947,246.3802,"OUT049","1","1","1",7370.406,"train","0",14
"147","FDB11","16","0",0.060836524,226.8404,"OUT035","0","2","1",6301.1312,"train","0",9
"148","NCB06","17.6","0",0.082316506,160.692,"OUT035","0","2","1",1597.92,"train","2",9
"149","FDA45","21.25","0",0.155350299,178.237,"OUT035","0","2","1",529.311,"train","0",9
"150","NCO26","7.235","0",0.076841095,117.5492,"OUT035","0","2","1",1969.4364,"train","2",9
"151","DRJ25","14.6","0",0.151419185,50.3692,"OUT017","0","2","1",1034.6532,"train","1",6
"152","FDR28","13.85","1",0.026001976,161.521,"OUT018","1","3","2",1794.331,"train","0",4
"153","FDI04","13.65","1",0.073209447,197.6426,"OUT018","1","3","2",2768.3964,"train","0",4
"154","DRK12",NA,"0",0.041683481,31.29,"OUT027","1","3","3",898.83,"train","1",28
"155","FDX20","7.365","0",0.042560252,226.172,"OUT046","0","1","1",3169.208,"train","0",16
"156","NCI18","18.35","0",0.014081156,223.5746,"OUT018","1","3","2",3589.9936,"train","2",4
"157","FDB36","5.465","1",0.0659527800739932,132.5626,"OUT018","1","3","2",262.3252,"train","0",4
"158","FDN13","18.6","0",0.152918384,99.8358,"OUT017","0","2","1",1910.1802,"train","0",6
"159","DRD24","13.85","0",0.030969274,140.9154,"OUT017","0","2","1",1701.7848,"train","1",6
"160","FDQ28","14","1",0.060376776,154.5656,"OUT013","2","3","1",2471.4496,"train","0",26
"161","FDM22","14","1",0.04192285,54.764,"OUT013","2","3","1",1331.6,"train","0",26
"162","FDR07",NA,"0",0.077367431,97.0094,"OUT027","1","3","3",1808.9786,"train","0",28
"163","FDV25","5.905","0",0.045838211,222.5456,"OUT018","1","3","2",3315.684,"train","0",4
"164","DRF49","7.27","0",0.071077939,114.2518,"OUT046","0","1","1",2618.5914,"train","1",16
"165","FDW51","6.155","1",0.094659871,214.556,"OUT046","0","1","1",2769.728,"train","0",16
"166","DRL01","19.5","1",0.077608838,233.4958,"OUT017","0","2","1",5375.0034,"train","1",6
"167","FDP25","15.2","0",0.021327477,216.8824,"OUT017","0","2","1",2838.9712,"train","0",6
"168","FDL50","12.15","1",0.042485444,125.0046,"OUT018","1","3","2",1743.0644,"train","0",4
"169","NCB30",NA,"0",0.025578526,198.8084,"OUT027","1","3","3",5555.4352,"train","2",28
"170","FDW11","12.6","0",0.0489808,61.9194,"OUT018","1","3","2",619.194,"train","0",4
"171","NCM43","14.5","0",0.019471688,164.821,"OUT035","0","2","1",2120.573,"train","2",9
"172","FDK44","16.6","0",0.122918852,173.0738,"OUT017","0","2","1",3823.0236,"train","0",6
"173","FDM15","11.8","1",0.057373797,151.4366,"OUT013","2","3","1",1360.2294,"train","0",26
"174","FDS31","13.1","1",0.044155597,178.8318,"OUT013","2","3","1",3969.4996,"train","0",26
"175","FDI32","17.7","0",0.291865402,115.1834,"OUT010","0","3","0",345.5502,"train","0",15
"176","FDR47","17.85","0",0.0659527800739932,196.5794,"OUT010","0","3","0",585.2382,"train","0",15
"177","FDB35","12.3","1",0.064750025,92.6804,"OUT045","0","2","1",1010.6844,"train","0",11
"178","NCU05","11.8","0",0.098312421,81.4618,"OUT010","0","3","0",161.1236,"train","2",15
"179","DRY23",NA,"1",0.191013663,42.1112,"OUT019","0","1","0",42.6112,"train","1",28
"180","FDO24","11.1","0",0.176573035,157.4604,"OUT045","0","2","1",3010.7476,"train","0",11
"181","FDQ28",NA,"1",0.060134441,153.0656,"OUT027","1","3","3",6024.1584,"train","0",28
"182","FDV39","11.3","0",0.007294652,198.1426,"OUT045","0","2","1",988.713,"train","0",11
"183","NCO17",NA,"0",0.128478462,117.944,"OUT019","0","1","0",239.688,"train","2",28
"184","FDU50","5.75","1",0.075107656,112.8176,"OUT013","2","3","1",1374.2112,"train","0",26
"185","FDT12",NA,"1",0.049381406,226.8062,"OUT027","1","3","3",4739.8302,"train","0",28
"186","FDK58","11.35","1",0.045165796,100.0016,"OUT018","1","3","2",1012.016,"train","0",4
"187","FDO08",NA,"1",0.09415375,165.7526,"OUT019","0","1","0",657.8104,"train","0",28
"188","NCW29","14","0",0.028907832,130.431,"OUT049","1","1","1",778.986,"train","2",14
"189","FDE04","19.75","1",0.018059621,179.766,"OUT045","0","2","1",2336.958,"train","0",11
"190","NCB19","6.525","0",0.090436094,85.0882,"OUT049","1","1","1",2233.0932,"train","2",14
"191","FDV15","10.3","0",0.146399712,103.9648,"OUT049","1","1","1",1661.8368,"train","0",14
"192","FDL58","5.78","1",0.074264356,264.7568,"OUT049","1","1","1",4745.8224,"train","0",14
"193","FDA08","11.85","1",0.050186726,164.1526,"OUT045","0","2","1",3124.5994,"train","0",11
"194","FDT43","16.35","0",0.020631654,50.1324,"OUT018","1","3","2",467.3916,"train","0",4
"195","NCX06",NA,"0",0.01561108,182.5976,"OUT027","1","3","3",5070.7328,"train","2",28
"196","FDT20","10.5","0",0.041395445,37.6164,"OUT046","0","1","1",540.6296,"train","0",16
"197","FDB41","19","1",0.097313129,48.0718,"OUT046","0","1","1",992.7078,"train","0",16
"198","NCN55","14.6","0",0.059582996,238.8538,"OUT049","1","1","1",6008.845,"train","2",14
"199","FDE40",NA,"1",0.098663652,62.9194,"OUT027","1","3","3",2105.2596,"train","0",28
"200","FDX49",NA,"1",0.101338651,232.63,"OUT027","1","3","3",5359.69,"train","0",28
"201","NCM53","18.75","0",0.052146456,104.628,"OUT045","0","2","1",745.696,"train","2",11
"202","FDE36","5.26","1",0.041764487,161.8868,"OUT035","0","2","1",3275.736,"train","0",9
"203","FDN57","18.25","0",0.054344186,140.2154,"OUT045","0","2","1",1701.7848,"train","0",11
"204","FDI24",NA,"0",0.078362484,177.937,"OUT027","1","3","3",6704.606,"train","0",28
"205","FDI19","15.1","0",0.052339069,242.7512,"OUT046","0","1","1",4119.9704,"train","0",16
"206","FDF24","15.5","1",0.042464962,81.5934,"OUT010","0","3","0",327.5736,"train","0",15
"207","FDG52","13.65","0",0.065732883,45.7402,"OUT049","1","1","1",780.9834,"train","0",14
"208","DRF36","16.1","0",0.023625114,189.3846,"OUT045","0","2","1",3630.6074,"train","1",11
"209","FDS45",NA,"1",0.051643608,107.3622,"OUT019","0","1","0",317.5866,"train","0",28
"210","FDX40","12.85","0",0.165694219,39.7164,"OUT010","0","3","0",231.6984,"train","0",15
"211","DRK12","9.5","0",0.041878397,32.99,"OUT035","0","2","1",133.16,"train","1",9
"212","DRC27","13.8","0",0.058091482,245.1802,"OUT035","0","2","1",5650.6446,"train","1",9
"213","FDL58","5.78","1",0.0659527800739932,263.7568,"OUT017","0","2","1",2636.568,"train","0",6
"214","NCD30","19.7","0",0.026903714,96.0726,"OUT045","0","2","1",1272.3438,"train","2",11
"215","NCZ54","14.65","0",0.0659527800739932,161.5552,"OUT010","0","3","0",324.9104,"train","2",15
"216","FDE10","6.67","1",0.150554711,130.0626,"OUT010","0","3","0",131.1626,"train","0",15
"217","FDR44","6.11","1",0.0659527800739932,131.2968,"OUT010","0","3","0",260.9936,"train","0",15
"218","FDP28","13.65","1",0.134975628,260.0936,"OUT010","0","3","0",260.9936,"train","0",15
"219","FDX15","17.2","0",0.15616879,160.6578,"OUT013","2","3","1",3690.5294,"train","0",26
"220","FDA39","6.32","0",0.0659527800739932,40.2822,"OUT035","0","2","1",1139.1838,"train","0",9
"221","FDY24","4.88","1",0.133700752,52.9298,"OUT049","1","1","1",1995.4026,"train","0",14
"222","FDC60","5.425","1",0.115119905,88.3514,"OUT017","0","2","1",1416.8224,"train","0",6
"223","FDH28","15.85","1",0.110030997,37.2506,"OUT046","0","1","1",265.6542,"train","0",16
"224","FDT25","7.5","0",0.051038045,121.7072,"OUT017","0","2","1",3552.7088,"train","0",6
"225","DRJ13","12.65","0",0.062837968,161.5578,"OUT013","2","3","1",2406.867,"train","1",26
"226","NCO07",NA,"0",0.017116983,211.956,"OUT019","0","1","0",213.056,"train","2",28
"227","FDW20","20.75","0",0.024129332,124.173,"OUT013","2","3","1",2956.152,"train","0",26
"228","DRF27",NA,"0",0.049754975,152.134,"OUT019","0","1","0",153.134,"train","1",28
"229","FDS49","9","0",0.0659527800739932,79.7644,"OUT035","0","2","1",1649.8524,"train","0",9
"230","FDX25",NA,"0",0.101561568,181.9292,"OUT027","1","3","3",3101.2964,"train","0",28
"231","NCX42",NA,"0",0.005949644,165.6526,"OUT027","1","3","3",4769.1254,"train","2",28
"232","FDG33",NA,"1",0.13956116,170.4764,"OUT027","1","3","3",3435.528,"train","0",28
"233","FDL56","14.1","0",0.126035694,86.4198,"OUT045","0","2","1",1133.8574,"train","0",11
"234","FDF14","7.55","0",0.027164679,152.334,"OUT035","0","2","1",2603.278,"train","0",9
"235","NCD06","13","0",0.099325278,45.406,"OUT046","0","1","1",605.878,"train","2",16
"236","DRM47",NA,"0",0.04357366,192.8846,"OUT027","1","3","3",2293.0152,"train","1",28
"237","FDS46",NA,"1",0.082741482,118.7782,"OUT019","0","1","0",119.1782,"train","0",28
"238","FDB35","12.3","1",0.064565202,92.9804,"OUT013","2","3","1",1929.4884,"train","0",26
"239","FDX21",NA,"0",0.084554569,109.8912,"OUT027","1","3","3",2074.6328,"train","0",28
"240","NCU05",NA,"0",0.058451805,79.9618,"OUT027","1","3","3",241.6854,"train","2",28
"241","NCR38","17.25","0",0.113748685,251.3724,"OUT045","0","2","1",6795.1548,"train","2",11
"242","NCR18","15.85","0",0.020603511,42.7112,"OUT017","0","2","1",639.168,"train","2",6
"243","NCU41","18.85","0",0.052044976,192.1846,"OUT035","0","2","1",3248.4382,"train","2",9
"244","FDY56","16.35","1",0.062764429,227.6062,"OUT017","0","2","1",7222.5984,"train","0",6
"245","DRJ51","14.1","0",0.087977262,229.0668,"OUT035","0","2","1",3225.1352,"train","1",9
"246","FDK21","7.905","0",0.010010425,249.0408,"OUT035","0","2","1",3755.112,"train","0",9
"247","FDY25","12","0",0.033946163,179.3976,"OUT013","2","3","1",3440.8544,"train","0",26
"248","FDU44","12.15","1",0.058414678,163.4552,"OUT035","0","2","1",974.7312,"train","0",9
"249","FDL43","10.1","0",0.027106459,75.367,"OUT049","1","1","1",535.969,"train","0",14
"250","FDF05","17.5","0",0.027022883,262.491,"OUT017","0","2","1",5259.82,"train","0",6
"251","DRF15",NA,"0",0.058153409,152.034,"OUT019","0","1","0",306.268,"train","1",28
"252","FDL20","17.1","0",0.128937661,112.3886,"OUT018","1","3","2",1779.0176,"train","0",4
"253","FDV32","7.785","0",0.088846306,61.451,"OUT049","1","1","1",759.012,"train","0",14
"254","FDJ34","11.8","1",0.09357779,125.9704,"OUT013","2","3","1",1877.556,"train","0",26
"255","FDG08","13.15","1",0.165694678,171.8764,"OUT045","0","2","1",3779.0808,"train","0",11
"256","FDQ04",NA,"0",0.148392623,41.5796,"OUT019","0","1","0",41.2796,"train","0",28
"257","FDW13","8.5","0",0.098438394,51.1324,"OUT017","0","2","1",259.662,"train","0",6
"258","NCI17","8.645","0",0.143303291,96.341,"OUT013","2","3","1",193.082,"train","2",26
"259","FDY03","17.6","1",0.076276208,110.9202,"OUT045","0","2","1",1687.803,"train","0",11
"260","FDS12","9.1","0",0.175103435,127.5362,"OUT017","0","2","1",4655.9394,"train","0",6
"261","FDJ55","12.8","1",0.023511371,225.9404,"OUT013","2","3","1",4950.8888,"train","0",26
"262","DRK01","7.63","0",0.06105276,95.4436,"OUT035","0","2","1",1418.154,"train","1",9
"263","FDG28","9.285","1",0.049559042,246.4144,"OUT017","0","2","1",1225.072,"train","0",6
"264","FDY38","13.6","1",0.119418124,231.03,"OUT045","0","2","1",5359.69,"train","0",11
"265","FDN01","8.895","0",0.072545601,176.237,"OUT045","0","2","1",1764.37,"train","0",11
"266","NCR54","16.35","0",0.090486828,195.211,"OUT013","2","3","1",2553.343,"train","2",26
"267","FDG29","17.6","0",0.056245075,43.3454,"OUT013","2","3","1",1006.6896,"train","0",26
"268","FDG24","7.975","0",0.014618973,85.225,"OUT013","2","3","1",1081.925,"train","0",26
"269","FDG59","15.85","0",0.043479126,36.7164,"OUT017","0","2","1",308.9312,"train","0",6
"270","FDM28","15.7","0",0.045166237,178.666,"OUT013","2","3","1",2516.724,"train","0",26
"271","FDW04","8.985","1",0.057827101,128.831,"OUT046","0","1","1",1428.141,"train","0",16
"272","FDS26","20.35","0",0.089394766,260.1594,"OUT013","2","3","1",2093.2752,"train","0",26
"273","FDQ56","6.59","0",0.10550944,85.6908,"OUT013","2","3","1",1929.4884,"train","0",26
"274","FDK51","19.85","0",0.005234153,264.0884,"OUT035","0","2","1",5829.7448,"train","0",9
"275","FDL22","16.85","0",0.036390174,91.4488,"OUT046","0","1","1",2082.6224,"train","0",16
"276","FDH19",NA,"0",0.03292824,173.1738,"OUT027","1","3","3",7298.4996,"train","0",28
"277","FDY55","16.75","0",0.081252534,256.4988,"OUT013","2","3","1",7452.9652,"train","0",26
"278","FDY03","17.6","1",0.076552407,110.5202,"OUT017","0","2","1",450.0808,"train","0",6
"279","FDK21","7.905","0",0.016758569,250.4408,"OUT010","0","3","0",500.6816,"train","0",15
